,GroupName,I,attribute,similarity
0,Sex,0,sex,1.0
1,Sex,1,sex_infant_1,0.999325632872574
2,Sex,2,babygender_m_f,0.9947010019632591
3,Sex,3,baby_sex,0.9923445412566679
4,Sex,4,donor1_sex,0.9785563162510208
5,Age,0,age,0.9999999999999999
6,BMI,0,bmi,1.0
7,BMI,1,latitude,0.9805357055305697
8,BMI,2,niacin_eq_mg_ave,0.9736570031803805
9,BMI,3,glucose_g_ave,0.9620783813519496
10,BMI,4,sf36_physical_component_scale,0.9522866020414991
11,BMI,5,longitude,0.9493443830070886
12,BMI,6,v1_bmi,0.941340038950148
13,BMI,7,animal_protein_g_ave,0.9364642415347505
14,BMI,8,sf36_mental_component_scale,0.9363693309394239
15,BMI,9,fasttime_v2,0.9353157443915874
16,BMI,10,calprotectin,0.9317052922246022
17,BMI,11,iron_g_ave,0.9290128977892854
18,BMI,12,glycemic_index_glucose_ref_ave,0.9267488490370053
19,BMI,13,niacin_vit_b3_mg_ave,0.9235446370993972
20,BMI,14,host_age_days,0.9234186249060978
21,BMI,15,glutamic_acid_g_ave,0.923063241078206
22,BMI,16,total_protein_g_ave,0.9203037300785566
23,BMI,17,sucrose_g_ave,0.9202481251142077
24,BMI,18,fructose_g_ave,0.9198449246368825
25,BMI,19,collection_day,0.9178278993640719
26,BMI,20,sip_mean_t,0.9157558738689116
27,BMI,21,base_percent_bf_ave,0.9150490225084442
28,BMI,22,temp_c_average,0.9144938227676801
29,BMI,23,oxoado,0.9107283199688935
30,BMI,24,temp_c_max,0.9102041477252505
31,BMI,25,mufa_oleic_acid_g_ave,0.9086425171836005
32,BMI,26,bmi_corrected,0.9053944911493766
33,BMI,27,basea_insulin,0.9044858818325253
34,BMI,28,height,0.9043800543803638
35,BMI,29,soluble_transferrin_receptor,0.9007622774504176
36,BMI,30,map,0.8930947077997197
37,BMI,31,perc_cal_from_cho_average,0.8893567823819967
38,BMI,32,weight,0.8888604533966888
39,BMI,33,nitrogen_g_ave,0.8866956048672209
40,BMI,34,tot_sat_fatty_acids_g_ave,0.8857211557887193
41,BMI,35,ampliconconcentration,0.8836231346153763
42,BMI,36,vitk_phylloquinone_mcg_ave,0.881726279481691
43,BMI,37,vitamin_e_iu_ave,0.8807530691159554
44,BMI,38,elevation,0.8802061494791219
45,BMI,39,ash_g_ave,0.8779052770499549
46,BMI,40,latitude_deg,0.8771302091707268
47,BMI,41,cd4_nadir,0.876403615739424
48,BMI,42,tot_monounsat_fas_g_ave,0.8759031346440607
49,BMI,43,adjusted_ferritin,0.8757099100261979
50,BMI,44,soy_sauce,0.8744794510339317
51,BMI,45,static_time,0.8743135399289993
52,BMI,46,highest_glucose,0.8714503661048477
53,BMI,47,perc_cal_from_protein_ave,0.871093935872421
54,BMI,48,base_tg_ave,0.869508532926228
55,BMI,49,perc_cal_from_pufa_ave,0.8674259785115139
56,BMI,50,lowest_glucose,0.8647745989794933
57,BMI,51,sfa_palmitic_acid_g_ave,0.8643393387789778
58,BMI,52,fbg,0.86362414813467
59,BMI,53,compliance,0.8636041919115229
60,BMI,54,gammatocopherol_mg_ave,0.8626793751229577
61,BMI,55,zinc_g_ave,0.8620471896401376
62,BMI,56,vegetable_protein_g_ave,0.8614700019523706
63,BMI,57,base_ldlc_ave,0.8597599004904511
64,BMI,58,family_id,0.8570621955923231
65,BMI,59,wt,0.8568151496970795
66,BMI,60,observedotus,0.8560506094802479
67,BMI,61,cholestsaturated_fa_index_ave,0.8558931941905895
68,BMI,62,selenium__mcg__average,0.8555244944326853
69,BMI,63,in_house_identifier,0.8551223073140815
70,BMI,64,tcho,0.8549816368090046
71,BMI,65,body_mass_index,0.8520727900020227
72,BMI,66,base_tc_ave,0.8516652578592603
73,BMI,67,samp_vol_we_dna_ext,0.8516053928526782
74,BMI,68,weight_in_pounds,0.8486307454201403
75,BMI,69,sampleid_paper_table_s1,0.8477134219588469
76,BMI,70,dewpt_c_max,0.8449284638622305
77,BMI,71,dewpt_c_min,0.8426433829639574
78,BMI,72,acaroteneprovita_mcg_ave,0.8420535706413376
79,BMI,73,waist,0.841519353502091
80,BMI,74,oxoguo,0.8413828392065484
81,BMI,75,age_v1,0.8410373740624831
82,BMI,76,height_or_length,0.8404571864018794
83,BMI,77,age_feces,0.8399241461581115
84,BMI,78,salt,0.8396025286708333
85,BMI,79,vitals_day0_height_cm,0.8386234487497041
86,BMI,80,oxodg,0.8376489940576681
87,BMI,81,ua,0.8373706491592607
88,BMI,82,percent_body_fat,0.8373402932844408
89,BMI,83,age,0.8373120304221525
90,BMI,84,rdw,0.8367642952601249
91,BMI,85,longitude_deg,0.8366911880312636
92,BMI,86,pufa_linoleic_acid_g_ave,0.8360532284903203
93,BMI,87,middle_upperarm_circumference,0.8351031679595375
94,BMI,88,leucine_g_ave,0.8346288252475743
95,BMI,89,pressure_inch_hg_ave,0.8339271100195904
