,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,211,0.211,101.0,0.4786729857819905,65.0,0.3080568720379147,104.0,0.4928909952606635,0.4786729857819905
Cell type,702,269,0.3831908831908832,121.0,0.44981412639405205,97.0,0.36059479553903345,134.0,0.49814126394052044,0.44981412639405205
Condition/Disease,122,24,0.19672131147540983,21.0,0.875,20.0,0.8333333333333334,22.0,0.9166666666666666,0.875
Data type,78,78,1.0,10.0,0.1282051282051282,,,10.0,0.1282051282051282,0.1282051282051282
Genotype,595,71,0.11932773109243698,35.0,0.49295774647887325,21.0,0.29577464788732394,37.0,0.5211267605633803,0.49295774647887325
Protocol,18,4,0.2222222222222222,1.0,0.25,,,1.0,0.25,0.25
Sex,190,14,0.07368421052631578,14.0,1.0,11.0,0.7857142857142857,14.0,1.0,1.0
Species,1000,793,0.793,729.0,0.9192938209331651,683.0,0.8612862547288777,741.0,0.9344262295081968,0.9192938209331651
Strain,1000,343,0.343,41.0,0.119533527696793,264.0,0.7696793002915452,267.0,0.7784256559766763,0.7696793002915452
Tissue,1000,175,0.175,125.0,0.7142857142857143,115.0,0.6571428571428571,132.0,0.7542857142857143,0.7142857142857143
