,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,435,0.435,95,0.21839080459770116,150.0,0.3448275862068966,157,0.36091954022988504,0.3448275862068966
Cell type,702,369,0.5256410256410257,72,0.1951219512195122,168.0,0.45528455284552843,172,0.46612466124661245,0.45528455284552843
Condition/Disease,122,46,0.3770491803278688,24,0.5217391304347826,22.0,0.4782608695652174,24,0.5217391304347826,0.5217391304347826
Data type,78,22,0.28205128205128205,10,0.45454545454545453,,,10,0.45454545454545453,0.45454545454545453
Genotype,595,420,0.7058823529411765,89,0.2119047619047619,90.0,0.21428571428571427,117,0.2785714285714286,0.21428571428571427
Platform,275,47,0.1709090909090909,21,0.44680851063829785,17.0,0.3617021276595745,21,0.44680851063829785,0.44680851063829785
Sex,190,43,0.22631578947368422,25,0.5813953488372093,25.0,0.5813953488372093,25,0.5813953488372093,0.5813953488372093
Species,1000,976,0.976,733,0.7510245901639344,814.0,0.8340163934426229,856,0.8770491803278688,0.8340163934426229
Strain,1000,791,0.791,34,0.04298356510745891,495.0,0.6257901390644753,495,0.6257901390644753,0.6257901390644753
Tissue,1000,425,0.425,244,0.5741176470588235,276.0,0.6494117647058824,284,0.668235294117647,0.6494117647058824
