,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,226,0.226,102.0,0.45132743362831856,63.0,0.27876106194690264,105.0,0.4646017699115044,0.45132743362831856
Cell type,702,238,0.33903133903133903,106.0,0.44537815126050423,96.0,0.40336134453781514,116.0,0.48739495798319327,0.44537815126050423
Condition/Disease,122,27,0.22131147540983606,22.0,0.8148148148148148,21.0,0.7777777777777778,23.0,0.8518518518518519,0.8148148148148148
Data type,78,11,0.14102564102564102,9.0,0.8181818181818182,,,9.0,0.8181818181818182,0.8181818181818182
Genotype,595,182,0.3058823529411765,76.0,0.4175824175824176,53.0,0.29120879120879123,93.0,0.510989010989011,0.4175824175824176
Platform,275,30,0.10909090909090909,11.0,0.36666666666666664,9.0,0.3,11.0,0.36666666666666664,0.36666666666666664
Sex,190,24,0.12631578947368421,24.0,1.0,21.0,0.875,24.0,1.0,1.0
Species,1000,872,0.872,803.0,0.9208715596330275,761.0,0.8727064220183486,814.0,0.9334862385321101,0.9208715596330275
Strain,1000,264,0.264,40.0,0.15151515151515152,196.0,0.7424242424242424,198.0,0.75,0.7424242424242424
Tissue,1000,252,0.252,147.0,0.5833333333333334,136.0,0.5396825396825397,158.0,0.626984126984127,0.5833333333333334
