,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,229,0.229,103.0,0.4497816593886463,66.0,0.28820960698689957,108.0,0.47161572052401746,0.4497816593886463
Cell type,702,201,0.2863247863247863,91.0,0.4527363184079602,82.0,0.4079601990049751,101.0,0.5024875621890548,0.4527363184079602
Condition/Disease,122,25,0.20491803278688525,21.0,0.84,20.0,0.8,22.0,0.88,0.84
Data type,78,1,0.01282051282051282,1.0,1.0,,,1.0,1.0,1.0
Genotype,595,144,0.24201680672268908,69.0,0.4791666666666667,53.0,0.3680555555555556,86.0,0.5972222222222222,0.4791666666666667
Platform,275,19,0.06909090909090909,11.0,0.5789473684210527,9.0,0.47368421052631576,11.0,0.5789473684210527,0.5789473684210527
Sex,190,24,0.12631578947368421,24.0,1.0,21.0,0.875,24.0,1.0,1.0
Species,1000,817,0.817,756.0,0.9253365973072215,723.0,0.8849449204406364,769.0,0.9412484700122399,0.9253365973072215
Strain,1000,317,0.317,30.0,0.0946372239747634,268.0,0.8454258675078864,269.0,0.8485804416403786,0.8454258675078864
Tissue,1000,211,0.211,133.0,0.6303317535545023,122.0,0.5781990521327014,143.0,0.6777251184834123,0.6303317535545023
