,GroupName,attribute,similarity,value count,merged count,factor of increase
80,Age,age,0.9999999999999998,363161,370206,1.0193991094858754
33,Cell type,cell type,1.0,150652,660709,4.385663648673765
54,Condition/Disease,disease,0.9999999999999999,36349,47714,1.3126633469971665
83,Data type,molecular data type,0.9999999999999999,544515,544515,1.0
45,Genotype,genotype,1.0,117332,154012,1.3126171888316913
84,Platform,platform,1.0,3476,147827,42.52790563866513
103,Protocol,protocol,1.0,5851,9028,1.5429841052811486
65,Sex,sex,1.0,643290,807086,1.2546223320741812
0,Species,SCIENTIFIC_NAME,1.0,2773124,3412251,1.2304718433074036
12,Strain,strain,0.9999999999999999,598496,834505,1.3943368042560018
60,Tissue,tissue,1.0,446429,963458,2.158143848181906
