,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,224,0.224,103.0,0.45982142857142855,64.0,0.2857142857142857,106.0,0.4732142857142857,0.45982142857142855
Cell type,702,144,0.20512820512820512,64.0,0.4444444444444444,54.0,0.375,68.0,0.4722222222222222,0.4444444444444444
Condition/Disease,122,23,0.1885245901639344,21.0,0.9130434782608695,20.0,0.8695652173913043,22.0,0.9565217391304348,0.9130434782608695
Data type,78,12,0.15384615384615385,10.0,0.8333333333333334,,,10.0,0.8333333333333334,0.8333333333333334
Genotype,595,130,0.2184873949579832,65.0,0.5,50.0,0.38461538461538464,81.0,0.6230769230769231,0.5
Platform,275,30,0.10909090909090909,11.0,0.36666666666666664,9.0,0.3,11.0,0.36666666666666664,0.36666666666666664
Sex,190,4,0.021052631578947368,4.0,1.0,1.0,0.25,4.0,1.0,1.0
Species,1000,855,0.855,799.0,0.9345029239766082,760.0,0.8888888888888888,811.0,0.9485380116959065,0.9345029239766082
Strain,1000,295,0.295,26.0,0.08813559322033898,241.0,0.8169491525423729,242.0,0.8203389830508474,0.8169491525423729
Tissue,1000,237,0.237,142.0,0.5991561181434599,131.0,0.5527426160337553,151.0,0.6371308016877637,0.5991561181434599
