,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,245,0.245,170.0,0.6938775510204082,105.0,0.42857142857142855,172.0,0.7020408163265306,0.6938775510204082
Cell type,1000,165,0.165,62.0,0.37575757575757573,52.0,0.3151515151515151,75.0,0.45454545454545453,0.37575757575757573
Condition/Disease,793,205,0.25851197982345525,180.0,0.8780487804878049,129.0,0.6292682926829268,180.0,0.8780487804878049,0.8780487804878049
Data type,90,13,0.14444444444444443,12.0,0.9230769230769231,,,12.0,0.9230769230769231,0.9230769230769231
Genotype,1000,352,0.352,236.0,0.6704545454545454,182.0,0.5170454545454546,259.0,0.7357954545454546,0.6704545454545454
Platform,398,82,0.20603015075376885,42.0,0.5121951219512195,30.0,0.36585365853658536,42.0,0.5121951219512195,0.5121951219512195
Protocol,218,3,0.013761467889908258,3.0,1.0,3.0,1.0,3.0,1.0,1.0
Sex,216,11,0.05092592592592592,11.0,1.0,,,11.0,1.0,1.0
Species,1000,884,0.884,824.0,0.9321266968325792,786.0,0.8891402714932126,834.0,0.9434389140271493,0.9321266968325792
Strain,1000,352,0.352,206.0,0.5852272727272727,249.0,0.7073863636363636,265.0,0.7528409090909091,0.7073863636363636
Tissue,1000,318,0.318,194.0,0.610062893081761,145.0,0.4559748427672956,205.0,0.6446540880503144,0.610062893081761
