,GroupName,I,attribute,similarity
0,Species,0,SCIENTIFIC_NAME,1.0
1,Species,1,organism,0.9552428893883289
2,Species,2,Organism,0.9432239268688803
3,Species,3,host scientific name,0.9268460147493386
4,Species,4,host,0.9160595886415183
5,Species,5,host organism,0.9159907830067636
6,Species,6,host_scientific_name,0.9047047248717354
7,Species,7,specific host,0.9043756381174878
8,Species,8,nat-host,0.8918120388948516
9,Species,9,host species,0.861908416062441
10,Species,10,HostSpecies,0.8110496926315033
11,Species,11,specific_host,0.7902156802676628
12,Species,12,lab_host,0.7705269382583698
13,Species,13,ArrayExpress-Species,0.7592987857814537
14,Species,14,Host common name,0.7416037015678482
15,Species,15,component_organism,0.7185995617797234
16,Strain,0,strain,1.0
17,Strain,1,host_genotype,0.9290236612833467
18,Strain,2,strain/background,0.9204440473924886
19,Strain,3,background strain,0.9187222352606651
20,Strain,4,strain background,0.9175982155494459
21,Strain,5,genetic background,0.9084791045138412
22,Strain,6,mouse strain,0.8945864203315573
23,Strain,7,stain,0.8869235328856633
24,Strain,8,host genotype,0.8845864812367507
25,Strain,9,StrainOrLine,0.8784367742176078
26,Strain,10,background,0.8775763848620131
27,Strain,11,host strain,0.8700352737821982
28,Strain,12,Mouse_Strain,0.8663194107640177
29,Strain,13,strain name,0.8659412473206333
30,Strain,14,strain/genotype,0.847012051404531
31,Strain,15,host_strain,0.8294026304143519
32,Strain,16,host_breed,0.8291016619088131
33,Strain,17,host infra-specific name,0.8278584056764768
34,Strain,18,maternal strain,0.8193831350345671
35,Strain,19,paternal strain,0.8114017043481723
36,Strain,20,ArrayExpress-StrainOrLine,0.7982664685593116
37,Strain,21,strain or line,0.7968204745124884
38,Strain,22,strain description,0.7857601688548621
39,Strain,23,genotype,0.7767485034391575
40,Strain,24,host_infra_specific_rank,0.7667756229671777
41,Strain,25,mouse genotype,0.7576011471878609
42,Strain,26,environmental history,0.7227180110641263
43,Strain,27,Genotype,0.7103400779906077
44,Cell type,0,cell type,1.0
45,Cell type,1,cell_type,0.9334683620723019
46,Cell type,2,source cell type,0.9080980278196968
47,Cell type,3,cell types,0.8860681576947768
48,Cell type,4,progenitor cell type,0.8828971402622888
49,Cell type,5,source_name,0.8701472399329014
50,Cell type,6,CellType,0.8591867056582925
51,Cell type,7,tissue/cell type,0.8506223589436803
52,Cell type,8,cell description,0.8462490578974513
53,Cell type,9,cell-type,0.8377256027669345
54,Cell type,10,biomaterial_type,0.8333268174110621
55,Cell type,11,differentiation status,0.8092333455206083
56,Cell type,12,cell line source,0.8078533558277107
57,Cell type,13,DIFFERENTIATION_STAGE,0.806430923838897
58,Cell type,14,CELL_TYPE,0.8029102381006138
59,Cell type,15,sample type,0.800348656487607
60,Cell type,16,cell population,0.7799368037975543
61,Cell type,17,LINEAGE,0.771727244594108
62,Cell type,18,differentiation state,0.7586104038489507
63,Cell type,19,cell type or stage,0.7576457371105785
64,Cell type,20,celltype,0.7469883307816663
65,Cell type,21,sample_Type,0.7378255180489807
66,Cell type,22,cell/tissue type,0.7334186267914332
67,Cell type,23,cell line of origin,0.727823602942678
68,Cell type,24,parental cell line,0.7207231949145476
69,Cell type,25,cell source,0.7137571088089557
70,Cell type,26,cell condition,0.7098569797582036
71,Cell type,27,cell line,0.7090527692406499
72,Cell type,28,cell state,0.7081713101417905
73,Cell type,29,tissue source,0.704830053126723
74,Cell type,30,cell subset,0.7003724883028485
75,Genotype,0,genotype,1.0
76,Genotype,1,genotype/variation,0.9568117776291793
77,Genotype,2,mutant,0.8891350524388666
78,Genotype,3,mutation,0.8502253475274341
79,Genotype,4,plant genotype,0.8491903591376944
80,Genotype,5,idh2.gene.mutation,0.8235387776188312
81,Genotype,6,aire locus,0.8165836479877412
82,Genotype,7,macrophage samhd1,0.8033585403206673
83,Genotype,8,paternal genotype,0.8012328789152251
84,Genotype,9,strain description,0.7998426426657521
85,Genotype,10,Genotype,0.7993290931779314
86,Genotype,11,dnmt3a mutation,0.7932320870553872
87,Genotype,12,strain/genotype,0.7873073221981599
88,Genotype,13,idh mutation,0.7832812671011651
89,Genotype,14,myd88 genotype,0.7774348470221395
90,Genotype,15,cic.gene.mutation,0.7773767962982738
91,Genotype,16,flt3-itd,0.7773595781540621
92,Genotype,17,strain,0.7767485034391575
93,Genotype,18,host genotype,0.7711102338087048
94,Genotype,19,spry status,0.7594859424482716
95,Genotype,20,genetic variation,0.7528623619760709
96,Genotype,21,line,0.7478625656841221
97,Genotype,22,genetic background,0.7469051133968861
98,Genotype,23,host_genotype,0.7433136619323777
99,Genotype,24,phenotype,0.7418102743011696
100,Genotype,25,overexpression,0.7393941414976856
101,Genotype,26,background,0.7305024695222806
102,Genotype,27,strain name,0.7245268370093846
103,Genotype,28,StrainOrLine,0.7239766944978798
104,Genotype,29,host_infra_specific_rank,0.7203219994900233
105,Genotype,30,mouse genotype,0.7157428897257501
106,Genotype,31,housing condition,0.7142532143864888
107,Genotype,32,ArrayExpress-Genotype,0.7127488519631738
108,Genotype,33,inventory sample name,0.707664024793033
109,Genotype,34,genetic modification,0.702996526375418
110,Condition/Disease,0,disease,1.0
111,Condition/Disease,1,health state,0.8495916547675635
112,Condition/Disease,2,tumor type,0.8135589456900301
113,Condition/Disease,3,disease status,0.8058280657821747
114,Condition/Disease,4,DiseaseState,0.7896947440232515
115,Condition/Disease,5,tumor,0.7803308129839102
116,Condition/Disease,6,cell description,0.7770576524169539
117,Condition/Disease,7,clinical history,0.7580997947648219
118,Condition/Disease,8,diagnosis,0.7423133074794377
119,Condition/Disease,9,cancer type,0.7380655131886503
120,Condition/Disease,10,Tumor_Type,0.7353832148740264
121,Condition/Disease,11,tissue type,0.7205513556668875
122,Condition/Disease,12,tissue of origin,0.7168484871095113
123,Condition/Disease,13,cell karyotype,0.7145016721646286
124,Condition/Disease,14,subject status,0.7050253880563445
125,Condition/Disease,15,histology,0.7029139721010115
126,Tissue,0,tissue,1.0
127,Tissue,1,tissue_type,0.9461324739182079
128,Tissue,2,organism part,0.8682138722324115
129,Tissue,3,tissue-type,0.8578184775832184
130,Tissue,4,tissue source,0.7929509852121382
131,Tissue,5,source_name,0.7927680438567419
132,Tissue,6,body_sites,0.7552630445623004
133,Tissue,7,tissue/cell type,0.7457531772979447
134,Tissue,8,plant body site,0.7243865412549974
135,Tissue,9,ArrayExpress-OrganismPart,0.7056110889447489
136,Sex,0,sex,0.9999999999999998
137,Sex,1,host_sex,0.9973882184210178
138,Sex,2,sex / reassigned sex,0.9970052059494506
139,Sex,3,host ex,0.9965630101638543
140,Sex,4,sex_infant_1,0.9964986567089386
141,Sex,5,gender,0.9964731716140132
142,Sex,6,babygender_m_f,0.9959914943639177
143,Sex,7,Host_Gender,0.9948627230652819
144,Sex,8,Sex,0.9924735752231617
