,GroupName,attribute,similarity,value count,merged count,factor of increase
77,Age,age,0.9999999999999999,175224,178109,1.016464639547094
34,Cell type,cell type,1.0,92338,407022,4.40795772054842
56,Condition/Disease,disease,1.0,21539,29716,1.3796369376479873
80,Data type,molecular data type,1.0,43824,43824,1.0
48,Genotype,genotype,1.0,73997,109407,1.478532913496493
81,Platform,platform,1.0,486,65126,134.00411522633746
96,Protocol,protocol,1.0,2416,86242,35.69619205298013
67,Sex,sex,1.0,161788,222603,1.3758931441145201
0,Species,SCIENTIFIC_NAME,1.0,1120707,1439700,1.2846355024105318
12,Strain,strain,1.0,268546,306867,1.1426980852442412
62,Tissue,tissue,1.0,267834,291553,1.0885585847950596
